Speed,Gear Down,Altitude,Time,Gear Not Down alarm,Gear Air Speed alarm,Air Brake warning,Gear Override warning,Gear-up Command,Silence Alarms
401,Y,1000,59,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
401,N,1000,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
400,N,1000,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
301,N,1000,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
300,N,1000,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
250,N,1000,59,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
401,Y,999,121,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
401,Y,999,120,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
401,Y,999,60,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
401,N,1000,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
401,N,1000,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
401,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
400,N,999,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
301,N,999,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
400,N,999,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
301,N,999,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
400,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
301,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
300,N,999,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
250,N,999,120,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
300,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
250,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
300,N,999,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
250,N,999,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
249,N,999,59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
249,N,999,121,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
400,Y,999,59,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
301,Y,999,59,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
400,Y,999,120,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
301,Y,999,120,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
400,Y,999,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
301,Y,999,60,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
400,Y,999,121,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
301,Y,999,121,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
300,Y,999,59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250,Y,999,59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
401,N,1000,121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
